ASIN,MARKETPLACE,REGION,BRAND_NAME,MAIN_CATEGORY,SUB_CATEGORY
B01J3TEBW6,PL,EU,Espring,Home & Kitchen,Kitchen & Dining
B09G6PXB64,ES,EU,Espring,Home & Kitchen,Cleaning Supplies
B083KBDRSW,UK,UK,Tritart,Office Products,Office & School Supplies
B01M15S063,IT,EU,Espring,Sports & Outdoors,Outdoor Recreation
B01LXCW0VK,IT,EU,Espring,Home & Kitchen,Storage & Organization
B01MT8GZA6,FR,EU,Espring,Home & Kitchen,Bath
B07TTMNMLP,DE,EU,Espring,Sports & Outdoors,Exercise & Fitness
B07PQQRNBM,ES,EU,Espring,Home & Kitchen,Kitchen & Dining
B092D6LYT3,PL,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01K1ZD6HC,FR,EU,Espring,Home & Kitchen,Bedding
B088NQYHK5,UK,UK,Espring,Home & Kitchen,Kitchen & Dining
B07G2WLF6N,UK,UK,H&S,Tools & Home Improvement,Hardware
B0193JCAKG,IT,EU,Espring,Home & Kitchen,Appliances & Accessories
B07SWBXNN3,UK,UK,Espring,Baby Products,Baby Care
B01JA9T2N2,SE,EU,Espring,Tools & Home Improvement,Hardware
B07CPD18VZ,SE,EU,H&S,Industrial & Scientific,Food Service Equipment & Supplies
B06Y2MZH39,PL,EU,H&S,Home & Kitchen,Bath
B073WNN94R,IT,EU,Tritart,Industrial & Scientific,Power & Hand Tools
B08J3T116Q,SE,EU,Espring,Home & Kitchen,Kitchen & Dining
B098XFYB62,UK,UK,Espring,Home & Kitchen,Kitchen & Dining
B01HFIONTS,UK,UK,Espring,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B08Q46G2CG,BE,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B078PYYXBH,BE,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B0847THKYH,TR,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01LWJRCVJ,NON-AMAZON,EU,Espring,Tools & Home Improvement,Hardware
B07GTRCT4Z,NL,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B07TTMNMLP,NON-AMAZON,EU,Espring,Sports & Outdoors,Exercise & Fitness
B08N18QKFK,SE,EU,Espring,Office Products,Office & School Supplies
B07N8BLMZ7,PL,EU,H&S,Home & Kitchen,Home Décor
B07N8BLMZ7,FR,EU,H&S,Home & Kitchen,Home Décor
B08D6GR44H,DE,EU,Espring,Home & Kitchen,Bath
B07WJNGG8J,ES,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B08LL98VSZ,SE,EU,Espring,Home & Kitchen,Bath
B07CPD18VZ,IT,EU,H&S,Industrial & Scientific,Food Service Equipment & Supplies
B071XNQZJ7,NL,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B01HS5ASGK,NL,EU,H&S,Home & Kitchen,Kitchen & Dining
B07PQQRS2T,PL,EU,Espring,Home & Kitchen,Kitchen & Dining
B08B3V248T,BE,EU,Espring,Sports & Outdoors,Exercise & Fitness
B07W51S61C,US,US,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01HS5ASGK,NON-AMAZON,EU,H&S,Home & Kitchen,Kitchen & Dining
B01M7RJXEE,ES,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B00TY1HA18,SE,EU,H&S,Tools & Home Improvement,Hardware
B07DGKQ896,ES,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01AAJWSH8,FR,EU,Espring,"Clothing, Shoes & Jewelry",Sport Specific Clothing
B085F37HBC,UK,UK,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B01JRVJJIQ,UK,UK,Espring,Home & Kitchen,Bath
B07T7N8DP7,IT,EU,Espring,Tools & Home Improvement,Hardware
B017DIQL0O,TR,EU,Espring,Home & Kitchen,Furniture
B085TLR7QG,SE,EU,Tritart,Office Products,Office & School Supplies
B08BLS8RZ7,FR,EU,Espring,Beauty & Personal Care,Skin Care
B088RHVC9K,DE,EU,Espring,Tools & Home Improvement,Hardware
B07T3ZS7DL,BE,EU,Espring,Baby Products,Baby Care
